,Title,Director,Cast,Genre,Date,Year
3642,Prabhanjanam,Bhaskara Rao Vendrati,"Ajmal Ameer, Sandesh, Aarushi, Panchi Bora, Nassar, Kota Srinivasa Rao",Action,18/APR/2014,2014
3643,Chandamama Kathalu,Praveen Sattaru,"Krishnudu, Lakshmi Manchu, Chaitanya, Saikumar, Naresh",Anthology,25/APR/2014,2014
3644,Prathinidhi,Prashanth Mandava,"Nara Rohit, Shubra Aiyappa, Sree Vishnu, Kota Srinivasa Rao, Jaya Prakash Reddy, Posani Krishna Murali, Ravi Prakash",Action,25/APR/2014,2014
3645,Galata,Krishna,"Srinivas, Haripriya, Saikumar, Nagendra Babu, Ali",Romance/ Comedy,25/APR/2014,2014
3646,Anaamika,Sekhar Kammula,"Nayantara, Vaibhav Reddy, Pasupathy",Thriller,1/MAY/2014,2014
3647,Kotha Janta,Maruthi,"Allu Sirish, Regina Cassandra, Posani Krishna Murali, Rao Ramesh",Romance / Comedy,1/MAY/2014,2014
3648,Hrudaya Kaleyam (Re-released),Steven Shankar,"Sampoornesh Babu, Ishika Singh, Kavya Kumari",Comedy Action,9/MAY/2014,2014
3649,April Fool,Krishnaswamy Srikanth Iyengar,"Jagapati Babu, Bhoomika Chawla, Gulshan Grover, Randhir Reddy",Comedy Fantasy,10/MAY/2014,2014
3650,Pyar Mein Padipoyane,Ravi Kumar Chavali,"Aadi, Shanvi Srivastava",Romance,10/MAY/2014,2014
3651,Amrutham Chandamamalo,Gunnam Gangaraju,"Srinivas Avasarala, Harish, Vasu Inturi, Sivanarayana, Dhanya Balakrishna, Suchitra",Comedy,17/MAY/2014,2014
3652,Manam,Vikram Kumar,"Akkineni Nageswara Rao, Nagarjuna, Akkineni Naga Chaitanya, Shriya Saran, Samantha",Drama,23/MAY/2014,2014
3653,Green Signal,Vijay Maddhala,"Revanth, Shilpi Sharma",,30/MAY/2014,2014
3654,Prema Geema Jantha Nai,Subbu R. V.,"Sreeram Chandra, Mannara Chopra, Chalapathi Rao, Bhanuchander",Romance,31/MAY/2014,2014
3655,Kamalatho Naa Prayanam,Narasimha Nandi,"Sivaji, Archana Veda Sastry",Drama,1/JUN/2014,2014
3656,Ulavacharu Biryani,Prakash Raj,"Prakash Raj, Sneha, Urvashi, Samyuktha Horanadu","Comedy, Drama",6/JUN/2014,2014
3657,Veedu Chaala Worst,Venkat Pampana,"Taraka Ratna, Nandan, Neeraj, Swapna",Socio-Fantasy,6/JUN/2014,2014
3658,Jump Jilani,E. Satti Babu,"Allari Naresh, Isha Chawla, Swathi Deekshith, Posani Krishna Murali, Raghu Babu",Comedy,13/JUN/2014,2014
3659,Jabilli Kosam Akasamalle,Raj Narendra,"Sri Hari, Anoop Tej, Smrithika Acharya",Action / Romance,13/JUN/2014,2014
3660,Oohalu Gusagusalade,Srinivas Avasarala,"Naga Shourya, Rashi Khanna",Romance / Drama,20/JUN/2014,2014
3661,Maine Pyar Kiya,Pradeep Madugula,"Pradeep Ryan, Isha Talwar, Madhumitha",Romance,20/JUN/2014,2014
3662,Autonagar Surya,Deva Katta,"Naga Chaitanya, Samantha Ruth Prabhu, Saikumar",Social Drama,27/JUN/2014,2014
3663,Inka Emi Anukoleduu,Sreekara Babu,"Rahman, Deshpathi, Shreeraj, Archana",Romance,27/JUN/2014,2014
3664,Ra Ra... Krishnayya,Mahesh. P,"Sundeep Kishan, Jagapathi Babu, Regina Cassandra, Kalyani, Tanikella Bharani",Romance,4/JUL/2014,2014
3665,Aa Aiduguru,Anil Gurudu,"Siddharth Raj, Asmita Sood, Venkat, Tanishk Reddy, Krishna Teja, Posani Krishna Murali, Kota Srinivasa Rao, Babu Mohan",Action,4/JUL/2014,2014
3666,Drushyam,Sripriya,"Venkatesh, Meena, Nadhiya, Naresh",Action / Drama,11/JUL/2014,2014
3667,Ice Cream,Ram Gopal Varma,"Navdeep, Tejaswi Madivada",Horror / Thriller,12/JUL/2014,2014
3668,Alludu Seenu,V.V. Vinayak,"Bellamkonda Sreenivas, Samantha, Prakash Raj, Pradeep Rawat, Brahmanandam",Action,25/JUL/2014,2014
3669,Run Raja Run,Sujeeth,"Sharwanand, Seerat Kapoor, Adivi Sesh, Sampath Raj, Jayaprakash",Action,1/AUG/2014,2014
3670,Adavi Kaachina Vennela,Akki Vishwanadha Reddy,"Arvind Krishna, Meenakshi Dixit, Richard Rishi, Pooja Ramachandran",Action / Drama,1/AUG/2014,2014
3671,Maaya,Neelakanta,"Harshvardhan Rane, Avanthika, Nagababu",Action / Thriller,1/AUG/2014,2014
3672,Gallo Telinattunde,D. Venkat Suresh,"Ajay, Kousalya",Romance,1/AUG/2014,2014
3673,Chatting,T.S.Kamal,"Abhinaya Krishna, Sunitha",Romance,1/AUG/2014,2014
3674,Galipatam,Naveen Gandhi,"Aadi, Erica Fernandes, Kristina Akheeva",Romance,8/AUG/2014,2014
3675,Nuvvala Nenila,Trinadha Rao Nakkina,"Varun Sandesh, Poorna",Romance,8/AUG/2014,2014
3676,Janmasthanam,Om Sai Prakash,"Sai Kumar, Roopika, Pavani",Action / Thriller,8/AUG/2014,2014
3677,Geethanjali,Raj Kiran,"Anjali, Brahmanandam, Srinivasa Reddy",Horror / Comedy,9/AUG/2014,2014
3678,Lovers,Harinath,"Sumanth Ashwin, Nanditha",Romance,15/AUG/2014,2014
3679,Nee Jathaga Nenundali,Jaya Ravindra,"Sachiin J Joshi, Nazia Hussain, Rao Ramesh",Romance,22/AUG/2014,2014
3680,Kiraak,Harik Devabhakthuni,"Aniruddh, Chandini Tamilarasan",Romance,22/AUG/2014,2014
3681,Rabhasa,Santosh srinivas,"Jr. NTR, Samantha Ruth Prabhu, Pranitha Subhash, Brahmanandam, Sayaji Shinde",Action / Drama,29/AUG/2014,2014
3682,Boochamma Boochodu,Revan Yadu,"Sivaji, Kainaz Motivala, Brahmanandam, Posani Krishna Murali",Suspense Thriller,5/SEP/2014,2014
3683,Ganpati Bappa Morya,Ramu Kumar ASK,"Srinadh, Rajasekhar, Mallesh, Riteesh",Drama,5/SEP/2014,2014
3684,Raj Mahal,Appaji Konda,"Suryanath, Sravan, Jeeva, Surya, Tarjan, Sandeepthi, Ria",Suspense Horror,5/SEP/2014,2014
3685,Power,K. S. Ravindra,"Ravi Teja, Hansika, Regina Cassandra, Brahmanandam, Prakash Raj, Mukesh Rishi, Sampath Raj, Ajay, Subbaraju, Harish Uthaman",Action / Drama,12/SEP/2014,2014
3686,Boy Friend Leni Ammayi Unda,Shiva Nagu,"Bhavani Agarwal, Mega Supreme, Kanchana Maitra",Drama,12/SEP/2014,2014
3687,Anukshanam,Ram Gopal Varma,"Vishnu Manchu, Navdeep, Tejaswi Madivada, Madhu Shalini, Revathi",Thriller,13/SEP/2014,2014
3688,Aagadu,Srinu Vaitla,"Mahesh Babu, Tamannaah, Sonu Sood, Rajendra Prasad, Ashish Vidyarthi, Nassar, Brahmanandam",Action / Drama,19/SEP/2014,2014
3689,Loukyam,Sriwass,"Gopichand, Rakul Preet Singh, Brahmanandam, Mukesh Rishi, Rahul Dev, Sampath Raj",Action,26/SEP/2014,2014
3690,Govindudu Andarivadele,Krishna Vamsi,"Ram Charan, Kajal Agarwal, Srikanth, Prakash Raj",Drama,1/OCT/2014,2014
3691,Romeo,Gopi Ganesh,"Sairam Shankar, Adonika, Ravi Teja",Romance,10/OCT/2014,2014
3692,Pathasala,Mahi V. Raghav,"Nandu, Anu, Priya, Sirisha, Sai Kiran, Shiva, Sashaank",Thriller,10/OCT/2014,2014
3693,Dikkulu Choodaku Ramayya,Trikoti,"Naga Shourya, Sana Makbul, Ajay, Indraja",Romance,10/OCT/2014,2014
3694,Oka Laila Kosam,Vijay Kumar Konda,"Naga Chaitanya, Pooja Hegde",Romance,17/OCT/2014,2014
3695,Karthikeya,Chandoo Mondeti,"Nikhil Siddharth, Swati Reddy, Tanikella Bharani, Rao Ramesh, Kishore, Jayaprakash",Mystery - Thriller,24/OCT/2014,2014
3696,Current Theega,Nageshwara Reddy,"Manchu Manoj, Rakul Preet Singh, Jagapati Babu",Romantic comedy,31/OCT/2014,2014
3697,Jaihind 2,Arjun Sarja,"Arjun Sarja, Simran Kapoor, Surveen Chawla, Rahul Dev",Action,7/NOV/2014,2014
3698,Brother of Bommali,B. Chinni Krishna,"Allari Naresh, Karthika Nair",Comedy / Drama,7/NOV/2014,2014
3699,Joru,Kumar Nagendra,"Sundeep Kishan, Rashi Khanna, Priya Banerjee, Brahmanandam, Sayaji Shinde",Action / Drama,7/NOV/2014,2014
3700,Parampara,Madhu Mahankali,"Naresh, Aamani, Raavi Kondala Rao",Family drama,7/NOV/2014,2014
3701,Poga,Shankar Marthand,"Navdeep, Madhu Shalini",Horror,9/NOV/2014,2014
3702,Erra Bus,Dasari Narayana Rao,"Manchu Vishnu, Catherine Tresa, Brahmanandam, Dasari Narayana Rao",Romantic Drama,14/NOV/2014,2014
3703,Pilla Nuvvu Leni Jeevitham,A. S. Ravi Kumar Chowdhary,"Sai Dharam Tej, Regina Cassandra, Jagapati Babu, Prakash Raj, Sayaji Shinde",Action drama,14/NOV/2014,2014
3704,Atreya,Shanthikumar Chilumula,"Aditya, Anuhya, Sri Raj, Jeeva, Meenakshi",Children,14/NOV/2014,2014
3705,Ice Cream 2,Ram Gopal Varma,"J. D. Chakravarthy, Naveena, Tanikella Bharani, Jeeva",Thriller,21/NOV/2014,2014
3706,Rowdy Fellow,Krishna Chaitanya,"Nara Rohit, Vishakha Singh, Nandini Rai, Rao Ramesh",Action / Drama,21/NOV/2014,2014
3707,Naa Bangaaru Talli,Rajesh Touchriver,"Siddique, Anjali Patil, Lakshmi Menon, Rathna Shekar Reddy",Drama,21/NOV/2014,2014
3708,33 Prema Kathalu,Siva Ganesh,"Vivek, Sunitha Marasiar, Sravani",Romance,21/NOV/2014,2014
3709,Yamaleela 2,S. V. Krishna Reddy,"Dr.K.V.Satish, Diah Nicolas, Sadha, Mohan Babu, Brahmanandam, Nisha Kothari, Sayaji Shinde, Ali, Ashish Vidyarthi",Fantasy drama,28/NOV/2014,2014
3710,Rough,C. H. Subba Reddy,"Aadi, Rakul Preet Singh, Srihari, Raghu Babu",Romance Action,28/NOV/2014,2014
3711,Ala Ela,Aneesh Krishna,"Rahul Ravindran, Bhanu Sri Mehra, Vennela Kishore, Shaani Salman, Khushi, Heebah Patel",Comedy,28/NOV/2014,2014
3712,Sri Vasavi Kanyaka Parameswari Charitra,Sripada Ramachandra Rao,"Suman, Ramya Krishna",Mythological,28/NOV/2014,2014
3713,Chakkiligintha,Vema Reddy,"Sumanth Ashwin, Rehana",Romance,5/DEC/2014,2014
3714,Lakshmi Raave Maa Intiki,Nandyala Ravi,"Naga Shourya, Avika Gor",Romance,5/DEC/2014,2014
3715,The End,Rahul Sankrityan,"Yuva Chandraa, Sudhir Reddy, Gazal Somaiah, Pavani Reddy",Horror,5/DEC/2014,2014
3716,Vundile Manchi Kalam Mundu Mundura,Arun Daasyam,"Sudhakar Komakula, Avantika Mohan",Drama,5/DEC/2014,2014
3717,Choosinodiki Choosinanta,Anil Vatupalli,"Sivaji, Nagendra Babu, Leslie Tripathy",,12/DEC/2014,2014
3718,Ee Varsham Sakshiga,Ramana Mogili,"Varun Sandesh, Haripriya",Romance,13/DEC/2014,2014
3719,Saheba Subramanyam,Sasikiran Naryana,"Dilip Kumar, Priyanka Gor, Rao Ramesh",Romance,13/DEC/2014,2014
3720,Panchabhoothalu Sakshiga,Kalicharan Maadina,"Kalicharan, Manashwini, Chitram srinu, Bindu",Horror,19/DEC/2014,2014
3721,O Manishi Katha,Radha Swamy Avula,"Jagapati Babu, Kalyani",Drama,19/DEC/2014,2014
3722,Mukunda,Srikanth Addala,"Varun Tej, Pooja Hegde, Prakash Raj",Drama,24/DEC/2014,2014
3723,Chinnadana Nee Kosam,A. Karunakaran,"Nithiin, Mishti, Nassar, Naresh, Sithara, Ali",Romance,25/DEC/2014,2014
3724,A Shyam Gopal Varma Film,Rakesh Srinivas,"Shafi, Zoya Khan, L. B. Sriram, Jaya Prakash Reddy",Satirical comedy,1/JAN/2015,2015
3725,Mana Kurralle,Veera Sankar,"Arvind Krishna, Rachana Malhotra, Krishnudu, Roopa Kaur",Drama,1/JAN/2015,2015
3726,Lava Kusa,Jaya Sreesivan,"Varun Sandesh, Richa Panai",,5/JAN/2015,2015
3727,Gopala Gopala,Kishore Kumar,"Venkatesh, Pawan Kalyan, Shriya Saran, Mithun Chakraborthy",Satirical comedy,9/JAN/2015,2015
3728,Pataas,Anil Ravipudi,"Nandamuri Kalyan Ram, Shruti Sodhi, Sai Kumar, Ashutosh Rana",Action,23/JAN/2015,2015
3729,Beeruva,Kanmani,"Sundeep Kishan, Surabhi",Romance/ Comedy,23/JAN/2015,2015
3730,Intelligent Idiots,Balaji Sanala,"Posani Krishna Murali, Vikram Shekar, Prabhjeet Kaur, Sapthagiri",Crime Comedy,23/JAN/2015,2015
3731,Top Rankers,Gollapati Nageshwara Rao,"Rajendra Prasad, Sony Charistha",Drama,30/JAN/2015,2015
3732,Ladies & Gentleman,P B Manjunath,"Adivi Sesh, Chaitanya Krishna, Kamal Kamaraju, Nikitha Narayan",Romance/Anthology,30/JAN/2015,2015
3733,O Manasa,Sahaja Rao,"Ajay, Aparna Bajpai",Drama,3/FEB/2015,2015
3734,Dorakadu,Varaprasad,"Sivaji, Gayathri Iyer, Suman, Ajay, Babu Mohan",Drama,6/FEB/2015,2015
3735,Gaddam Gang,Santhosh P. Jayakumar,"Rajasekhar, Sheena Shahabadi, Naresh, Seetha",Drama / Comedy,6/FEB/2015,2015
3736,Malli Malli Idi Rani Roju,Kranthi Madhav,"Sharwanand, Nithya Menen, Tejaswi Madivada, Nassar, Pavitra Lokesh",Romance / Drama,6/FEB/2015,2015
3737,Moodu Mukkallo Cheppalante,Madhumitha,"Rakendu Mouli, Aditi Chengappa, Venkatesh Harinathan",Romance / Comedy,6/FEB/2015,2015
3738,Pesarattu,Mahesh Kathi,"Nandu, Nikitha Narayan, Sampoornesh Babu",Romance,6/FEB/2015,2015
3739,Temper,Puri Jagannadh,"N. T. Rama Rao Jr., Kajal Aggarwal, Prakash Raj",Action,13/FEB/2015,2015
3740,Paddanandi Premalo Mari,Mahesh Upputuri,"Varun Sandesh, Vithika Sheru",Action,14/FEB/2015,2015
3741,Bandipotu,Mohan Krishna Indraganti,"Allari Naresh, Eesha Rebba, Srinivas Avasarala, Rao Ramesh, Tanikella Bharani",Action-Comedy,20/FEB/2015,2015
3742,Nuvvu Nenu Okatavudaam,P. Narasimha Reddy,"Ranjith Swamy, Sana, Ali, Jaya Prakash Reddy",Romance,20/FEB/2015,2015
3743,Gayakudu,Kamal. G,"Ali Reza, Shriya Sharma, Santosh Pawan, M S Narayana, Sapta Giri",Romance,20/FEB/2015,2015
3744,Bham Bolenath,Karthik Varma Dandu,"Navdeep, Naveen Chandra, Pooja Jhaveri",Drama,27/FEB/2015,2015
3745,Ramleela,Kiran,"Havish, Abijeet, Nanditha Raj",Romantic Entertainer,27/FEB/2015,2015
3746,Surya vs Surya,Karthik Ghattamaneni,"Nikhil Siddharth, Tanikella Bharani, Tridha Choudhary",Romance,5/MAR/2015,2015
3747,Naakaithe Nachindi,Trinadh Kosuru,"Sri Balaji, Soni Charistha, Rishika Jairath, Krishna",Romance,6/MAR/2015,2015
3748,Anandam Malli Modalaindi,Akash,"Jai Akash, Jiya Khan, Alekhya, Thagubothu Ramesh",Romance,6/MAR/2015,2015
3749,Tommy,Raja Vannemreddy,"Rajendra Prasad, Seetha, Deepak, Mumtaj, Suresh, Raghu Babu",Drama,13/MAR/2015,2015
3750,Thappatadugu,Sri Aarun,"Surya Teja, Naveena Jackson, Lakshman, Surabhi",Romance,13/MAR/2015,2015
3751,Calling Bell,Panna Royal,"Ravi Verma, mamatha Rahuth, Vriti Khanna, Kishore, Jeeva, Chanti, Shankar, Venu",Horror – Thriller,20/MAR/2015,2015
3752,Tungabhadra,Srinivas Gogineni,"Adith Arun, Dimple Chopade",Romance,20/MAR/2015,2015
3753,Yevade Subramanyam,Nag Ashwin,"Nani, Vijay Deverakonda, Malavika Nair, Ritu Varma",Adventure,20/MAR/2015,2015
3754,Janda Pai Kapiraju,Samuthirakani,"Nani, Amala Paul, Ragini Dwivedi, Tanikella Bharani",Action-Thriller,20/MAR/2015,2015
3755,Rey,YVS Chowdary,"Sai Dharam Tej, Saiyami Kher, Shraddha Das, Tanikella Bharani",Musical,27/MAR/2015,2015
3756,Jil,Radha Krishna,"Gopichand, Raashi Khanna, Kabir Duhan Singh, Harish Uthaman",Action,27/MAR/2015,2015
3757,Avunu 2,Ravi Babu,"Harshvardhan Rane, Poorna, Ravi Babu, Sanjjanaa, Nikita Thukral",Thriller,3/APR/2015,2015
3758,S/O Satyamurthy,Trivikram Srinivas,"Allu Arjun, Upendra, Samantha, Nithya Menen, Sneha, Adah Sharma, Prakash Raj, Rajendra Prasad",Family Drama,9/APR/2015,2015
3759,Budugu,Manmohan,"Lakshmi Manchu, Indraja, Sridhar, Sana, Indu, Vani",Family Thriller,17/APR/2015,2015
3760,Varadhi,Kartikeya,"Kranthi, Sri Divya",Romance,17/APR/2015,2015
3761,Noothi Lo Kappalu,Chanti Gnamami,"Rajendra Prasad, Pari Singh",,17/APR/2015,2015
3762,Kai Raja Kai,Siva Ganesh,"Josh Ravi, Maanas, Ram Khanna, Shravya, Shamili",Romantic drama,23/APR/2015,2015
3763,Dohchay,Sudheer Varma,"Naga Chaitanya, Kriti Sanon, Brahmanandam, Rao Ramesh",Action-Thriller,24/APR/2015,2015
3764,Dongaata,Vamsi Krishna,"Lakshmi Manchu, Adivi Sesh, Brahmanandam, Pragathi",Crime Comedy,8/MAY/2015,2015
3765,Rajahmundry ki 50 km duramloo,Vijay Surya,"Hemanth, Nairuthi,",Love Suspense Thriller,8/MAY/2015,2015
3766,Dagudumootha Dandakor,R.K Malineni,"Rajendra Prasad, Sara Arjun, Ravi Prakash",Family Romance,9/MAY/2015,2015
3767,Lion,Satyadeva,"Nandamuri Balakrishna, Trisha Krishnan, Radhika Apte, Prakash Raj",Psychological Thriller,14/MAY/2015,2015
3768,Dhee Ante Dhee,Srinivasa Rao,"Srikanth, Sonia Mann, Posani Krishna Murali, Brahmanandam",Action Comedy,15/MAY/2015,2015
3769,Mosagallaku Mosagadu,AN Bose,"Sudheer Babu, Nandini Rai, Abhimanyu",Crime Comedy,22/MAY/2015,2015
3770,365 Days,RGV,"Nandoo, Anaika Soti",thriller,22/MAY/2015,2015
3771,Pandaga Chesko,Gopichand Malineni,"Ram, Rakul, Sonal Chauhan, Brahmanandam, Sampath Raj, Abhimanyu Singh",Family Drama,29/MAY/2015,2015
3772,Andhra Pori,Raj Mudiraju,"Akash Puri, Ulka Gupta",Romance,5/JUN/2015,2015
3773,Asura,Krishna Vijay,"Nara Rohit, Priya Banerjee",Police Drama,5/JUN/2015,2015
3774,Singam 123,Akshat Sharma,Sampoornesh Babu,Comedy,5/JUN/2015,2015
3775,Jyothi Lakshmi,Puri Jagannadh,Charmy Kaur,Female-Oriented,12/JUN/2015,2015
3776,Lava Kusa,Jay,"Varun Sandesh, Richa Panai, Babu Mohan, Brahmanandam",Romance,12/JUN/2015,2015
3777,Kerintha,Kiran,"Sumanth, Sri Divya, Tejaswi",Romance,12/JUN/2015,2015
3778,Krishnamma Kalipindi Iddarini,R. Chandru,"Sudheer Babu, Nanditha, M.S. Narayana, Saptagiri",Romance,19/JUN/2015,2015
3779,Tippu,Jagadish,"Karthik, Kanika, Chalapathi Rao, Krishna Bhagavan",Romance,19/JUN/2015,2015
3780,Vinavayya Ramayya,Prasad,"Anvesh, Kruthika, Prakash Raj, Brahmanandam",Action,19/JUN/2015,2015
3781,Jadoogadu,Yogie,"Naga Shourya, Sonarika, Ajay, Kota Srinivasa Rao, Saptagiri",Romance,26/JUN/2015,2015
3782,Tiger,Anand,"Sundeep Kishan, Seerat Kapoor, Rahul Ravindran",Romance,26/JUN/2015,2015
3783,Where Is Vidya Balan,Srinivas,"Prince, Sethi",Romance,26/JUN/2015,2015
3784,Mantra 2,Satish,"Charmme Kaur, Chethan Cheenu",Horror,1/JUL/2015,2015
3785,Superstar Kidnap,A.Sushanth Reddy,"Nandu, Aadarsh Balakrishna, Bhupal, Poonam Kaur",Comedy,3/JUL/2015,2015
3786,Baahubali: The Beginning,S.S. Rajamouli,"Prabhas, Rana, Tamannaah, Anushka Shetty, Satyaraj, Ramya Krishnan, Nassar",Epic-Historical Film,10/JUL/2015,2015
3787,James Bond,Sai Kishore Macha,"Allari Naresh, Sakshi Chaudhary",Comedy,24/JUL/2015,2015
3788,Mirchi Lanti Kurradu,Jayanag,"Abijeet, Pragya Jaiswal",Romance,31/JUL/2015,2015
3789,Srimanthudu,Koratala Siva,"Mahesh Babu, Shruti Haasan, Jagapathi Babu, Mukesh Rishi, Rajendra Prasad, Sampath Raj, Harish Uthaman",Action/Drama,7/AUG/2015,2015
3790,Cinema Choopistha Mava,Trinadha Rao Nakkina,"Raj Tarun, Avika Gor",Romantic Comedy,14/AUG/2015,2015
3791,Kick 2,Surender Reddy,"Ravi Teja, Rakul Preet Singh, Ravi Kishan, Kabir Duhan Singh, Ashish Vidyarthi, Brahmanandam, Rajpal Yadav",Action thriller,21/AUG/2015,2015
3792,Best Actors,Arun Pawar,"Nandu, Madhurima, Madhunandan, Kesha, Varshini Soundaryarajan",Rom Com,31/AUG/2015,2015
3793,Dynamite,Deva Katta,"Manchu Vishnu, Pranitha Subhash, J. D. Chakravarthy",action,4/SEP/2015,2015
3794,Bhale Bhale Magadivoy,Maruthi,"Nani, Lavanya Tripathi, Murali Sharma",Comedy Romance,4/SEP/2015,2015
3795,Courier Boy Kalyan,Premsai,"Nithiin, Yami Gautam",Romance,17/SEP/2015,2015
3796,Ketagadu,,"Tejus Kancherla, Chandini Chowdary",Romance,18/SEP/2015,2015
3797,Subramanyam For Sale,Harish Shankar,"Sai Dharam Tej, Regina Cassandra, Adah Sharma, Brahmanandam",Romance,24/SEP/2015,2015
3798,Chandrika,Yogesh,"Jayram Karthik, Kamna Jethmalani, Srimukhi, Girish Karnad, Satyam Rajesh",Horror,25/SEP/2015,2015
3799,Shivam,Srinivas Reddy,"Ram, Raashi Khanna, Abhimanyu Singh",Action & comedy,2/OCT/2015,2015
3800,Rudhramadevi,Gunasekhar,"Anushka Shetty, Allu Arjun, Rana Daggubati, Krishnam Raju, Prakash Raj",Historical film,9/OCT/2015,2015
3801,Bruce Lee,Srinu Vaitla,"Ram Charan, Rakul Preet Singh, Kriti Kharbanda, Arun Vijay, Brahmanandam",Action & comedy,16/OCT/2015,2015
3802,Kanche,Krish,"Varun Tej, Pragya Jaiswal, Nikitin Dheer, Srinivas Avasarala",Fiction,22/OCT/2015,2015
3803,Columbus,R Samala,"Sumanth Ashwin, Seerat Kapoor, Mishti Chakraborty",Romance,22/OCT/2015,2015
3804,Raju Gari Gadhi,Omkar,"Ashwin Babu, Dhanya Balakrishna","Horror, Comedy",22/OCT/2015,2015
3805,Sher,Mallikarjun,"Kalyan Ram, Sonal Chauhan, Vikramjeet Virk, Mukesh Rishi",Action & Romance,30/OCT/2015,2015
3806,Tripura,Raj Kiran,"Colors Swathi, Naveen Chandra, Saptagiri, Rao Ramesh",Horror – thriller,6/NOV/2015,2015
3807,Akhil,Vinayak,"Akhil Akkineni, Sayyeshaa, Rajendra Prasad, Mahesh Manjrekar, Brahmanandam, Vennela Kishore",Action,11/NOV/2015,2015
3808,Kumari 21F,Surya Pratap,"Raj Tarun, Heebah Patel",Love,20/NOV/2015,2015
3809,Cheekati Rajyam,Rajesh,"Kamal Haasan, Trisha, Prakash Raj",Thriller,20/NOV/2015,2015
3810,Size Zero,Prakash,"Arya, Anushka, Sonal Chauhan",Love,27/NOV/2015,2015
3811,Thanu Nenu,Ram Mohan,"Santosh Sobhan, Avika Gor",Love,27/NOV/2015,2015
3812,Veediki Dookudekkuva,SatyaNarayana,"Srikanth, Kamna Jethmalani",love & action,4/DEC/2015,2015
3813,Sankarabharanam,Uday,"Nikhil, Nanditha",Crime comedy,4/DEC/2015,2015
3814,Bengal Tiger,Sampath Nandi,"Ravi Teja, Tamannaah Bhatia, Boman Irani, Raashi Khanna",Action & love,10/DEC/2015,2015
3815,Hitudu,Viplav,"Jagapathi Babu, Meera Nandan",Drama,11/DEC/2015,2015
3816,Anaganaga Oka Chitram,J. Prabhakar Reddy,"Shiva, Meghashree",Romance,11/DEC/2015,2015
3817,Kaki: Sound of Warning,Manon M,"Ashok, Meghashree, Sangeetha Bhat, Kiran Pattikonda",Horror,12/DEC/2015,2015
3818,Loafer,Puri Jagannadh,"Varun Tej, Disha Patani",Action & Romance,17/DEC/2015,2015
3819,Taskara,Chandra Sekhar,,Crime Drama,19/DEC/2015,2015
3820,Soukhyam,AS Ravi Kumar Chowdhary,"Gopichand, Regina Cassandra, Mukesh Rishi, Pradeep Rawat",Action & Romance,24/DEC/2015,2015
3821,Bhale Manchi Roju,Sriram Adittya. T,"Sudheer Babu, Wamiqa Gabbi, Dhanya Balakrishna, Sai Kumar",Romance action,25/DEC/2015,2015
3822,Mama Manchu Alludu Kanchu,Sriniwass Reddy,"Mohan Babu, Allari Naresh, Varun Sandesh, Poorna, Meena, Ramya Krishna",Comedy,25/DEC/2015,2015
3823,Jathakalisey,Rakesh Sashii,"Ashwin Babu, Tejaswi Madivada, Snigdha, Shakalaka Shankar, Dhanaraj, Satyadev",Romantic Comedy,25/DEC/2015,2015
3824,,,,,1/JAN/2015,2015
3825,Chitram Bhalare Vichitram,Bhanu Prakash Balusu,"Chandini Tamilarasan, Sowmya, Subhasree, Jeeva, Surya, Venugopal Rao, Prabhas Sreenu, Allari Subhashini",Horror comedy,1/JAN/2015,2015
3826,Abbayitho Ammayi,Ramesh Varma,"Naga Shourya, Palak Lalwani, Rao Ramesh, Brahmanandam, Mohan",Romance,1/JAN/2015,2015
3827,Nenu.. Sailaja...,Kishore Tirumala,"Ram Pothineni, Keerthy Suresh, Sathyaraj, Pradeep Rawat, Prince Cecil, Rohini",Romance,1/JAN/2015,2015
3828,Nannaku Prematho,Sukumar,"Jr NTR, Rakul Preet, Jagapathi Babu, Rajendra Prasad","Thriller, Drama",13/JAN/2015,2015
3829,Express Raja,Merlapaka Gandhi,"Sharwanand, Surabhi, Harish Uthaman",Romance,14/JAN/2015,2015
3830,Dictator,Sriwass,"Nandamuri Balakrishna, Anjali, Sonal Chauhan",Action – romance,14/JAN/2015,2015
3831,Soggade Chinni Nayana,Kalyan Krishna,"Nagarjuna, Ramya Krishnan, Lavanya Tripathi, Nassar, Sampath Raj, Brahmanandam",Supernatural Drama,15/JAN/2015,2015
3832,Lacchimdeviki O Lekkundi,Jagadish Talasila,"Lavanya Tripathi, Naveen Chandra",Comedy-Thriller,29/JAN/2015,2015
3833,Seethamma Andalu Ramayya Sitralu,Gavireddy Srinivas Reddy,"Raj Tarun, Arthana, Aadarsh, Raja Ravindra",Romance,29/JAN/2015,2015
3834,Lajja,Narasimha Nandi,"Madhumitha, Varun, Shiva",Drama,5/FEB/2015,2015
3835,Speedunnodu,Bhimaneni Srinivasa Rao,"Bellamkonda Sreenivas, Sonarika Bhadoria",Drama,5/FEB/2015,2015
3836,Vennello Hai Hai,Vamsy,"Ajmal, Nikitha Narayan",Drama,5/FEB/2015,2015
3837,Krishna Gaadi Veera Prema Gaadha,Hanu Raghavapudi,"Nani, Mehreen Pirzada, Sampath Raj, Murali Sharma, Harish Uthaman",Romance,12/FEB/2015,2015
3838,Garam,Madan,"Aadi, Adah Sharma, Brahmanandam",Love,12/FEB/2015,2015
