,Title,Director,Cast,Genre,Date,Year
170,Sri Jagannatha Mahatyamu,"Katuri Mohana Rao","Srinadh, Y. Jogarao, Vangara, Prayaga, Saritha, Janaki, A. Kamala Devi etc","",,1955
171,Sri Krishna Thulabaram,C. S. Rao,K. Raghuramaiah,Historical,,1955
172,Vadina,M. V. Raman,Akkineni Nageswara Rao,Drama,,1955
173,Vadina Gari Gajulu,Rajanikanth,Anjali Devi,Drama,,1955
174,Vijaya Gauri,D. Yoganand,N. T. Rama Rao,Drama,,1955
175,Alibaba 40 Dongalu,T. R. Sundaram,M. G. Ramachandran,Folklore,,1956
176,Amara Deepam,T. Prakash Rao,Sivaji Ganesan,Romance,,1956
177,Amarajeevi,T. Prakash Rao,Sivaji Ganesan,"",,1956
178,Ashtaaishwaryalu,E. S. N. Murthy,N. T. Rama Rao,Drama,,1956
179,Balasanyasamma Katha,P. Subbarao,Jaggayya,Drama,,1956
180,Bhakta Markandeya,B. S. Ranga,C. S. R. Anjaneyulu,Historical,,1956
181,Bhale Ramudu,Vedantam Raghavaiah,Akkineni Nageswara Rao,Drama,,1956
182,C.I.D.,"","","",,1956
183,Charana Daasi,T. Prakash Rao,N. T. Rama Rao,Drama,,1956
184,Chintamani,P. S. Ramakrishna Rao,P. Bhanumathi,Drama,,1956
185,Chiranjeevulu,Vedantam Raghavaiah,N. T. Rama Rao,"Drama, Musical",,1956
186,Edi Nijam,S. Balachander,Nagabhushanam,Drama,,1956
187,Harishchandra,Chandrasekhar Rao,S. V. Ranga Rao,Historical,,1956
188,Ilavelpu,D. Yoganand,Akkineni Nageswara Rao,Romance,,1956
189,Jayam Manade,T. Prakash Rao,N. T. Rama Rao,Folklore,,1956
190,Kanakatara,Rajanikanth,S. V. Ranga Rao,Drama,,1956
191,Melukolupu,K. S. Prakash Rao,Jamuna,Drama,,1956
192,Muddu Bidda,K. B. Tilak,Jaggayya,Drama,,1956
193,Naga Devatha,K. Shankar,R. Nagendra Rao,Fantasy,,1956
194,Naga Panchami,K. Nagabhushanam,Anjali Devi,Fantasy,,1956
